# name, rarity, ancient name
Constellation (Auraboa),Rare,Auraboa
Malachite (Undertide),Limited,Undertide
Eye Spots (Undertide),Common,Undertide
Paisley (Undertide),Limited,Undertide
Flair (Undertide),Uncommon,Undertide
Fissure (Undertide),Limited,Undertide
Rosette (Undertide),Uncommon,Undertide
Saturn (Undertide),Uncommon,Undertide
Weaver (Undertide),Limited,Undertide
Paint (Undertide),Common,Undertide
Constellation (Undertide),Rare,Undertide
Striation (Undertide),Common,Undertide
Stripes (Undertide),Common,Undertide
Lacquer (Undertide),Common,Undertide
Spire (Undertide),Common,Undertide
Alloy (Undertide),Rare,Undertide
Affection (Auraboa),Limited,Auraboa
Patchwork (Undertide),Limited,Undertide
Butterfly (Undertide),Rare,Undertide
Jester (Undertide),Rare,Undertide
Weaver,Limited,Modern
Weaver (Aether),Limited,Aether
Weaver (Banescale),Limited,Banescale
Weaver (Gaoler),Limited,Gaoler
Weaver (Sandsurge),Limited,Sandsurge
Weaver (Veilspun),Limited,Veilspun
Myrid (Banescale),Limited,Banescale
Myrid (Gaoler),Limited,Gaoler
Myrid (Veilspun),Limited,Veilspun
Daub (Dusthide),Uncommon,Dusthide
Chess (Dusthide),Common,Dusthide
Freckle (Dusthide),Common,Dusthide
Blaze (Dusthide),Uncommon,Dusthide
Blend (Dusthide),Common,Dusthide
Hex (Dusthide),Uncommon,Dusthide
Fissure (Dusthide),Limited,Dusthide
Jester (Dusthide),Rare,Dusthide
Saturn (Dusthide),Uncommon,Dusthide
Peregrine (Dusthide),Common,Dusthide
Edged (Dusthide),Common,Dusthide
Weaver (Dusthide),Limited,Dusthide
Butterfly (Dusthide),Rare,Dusthide
Paint (Dusthide),Common,Dusthide
Loop (Dusthide),Limited,Dusthide
Spire (Dusthide),Common,Dusthide
Trail (Dusthide),Limited,Dusthide
Lode (Dusthide),Rare,Dusthide
Bee (Dusthide),Rare,Dusthide
Eel (Dusthide),Uncommon,Dusthide
Current (Dusthide),Uncommon,Dusthide
Marlin (Dusthide),Limited,Dusthide
Safari (Dusthide),Common,Dusthide
Spinner (Dusthide),Limited,Dusthide
Lacquer (Dusthide),Common,Dusthide
Parade (Dusthide),Limited,Dusthide
Lode,Rare,Modern
Bee (Aether),Rare,Aether
Chess (Aether),Common,Aether
Current (Aether),Uncommon,Aether
Eel (Aether),Uncommon,Aether
Facet (Aether),Rare,Aether
Fissure (Aether),Limited,Aether
Hex (Aether),Uncommon,Aether
Hypnotic (Aether),Uncommon,Aether
Jester (Aether),Rare,Aether
Lacquer (Aether),Common,Aether
Malachite (Aether),Limited,Aether
Paisley (Aether),Limited,Aether
Peregrine (Aether),Common,Aether
Safari (Aether),Common,Aether
Striation (Aether),Common,Aether
Stripes (Aether),Common,Aether
Spire (Aether),Common,Aether
Sludge (Aether),Limited,Aether
Choir,Uncommon,Modern
Choir (Veilspun),Uncommon,Veilspun
Seraph (Veilspun),Uncommon,Veilspun
Seraph (Dusthide),Uncommon,Dusthide
Breakup (Aberration),Uncommon,Aberration
Breakup (Banescale),Uncommon,Banescale
Breakup (Dusthide),Uncommon,Dusthide
Breakup (Veilspun),Uncommon,Veilspun
Arowana (Everlux),Common,Everlux
Choir (Everlux),Uncommon,Everlux
Blend (Everlux),Common,Everlux
Daub (Everlux),Uncommon,Everlux
Facet (Everlux),Rare,Everlux
Flair (Everlux),Uncommon,Everlux
Larvae (Everlux),Common,Everlux
Malachite (Everlux),Limited,Everlux
Seraph (Everlux),Uncommon,Everlux
Silkspot (Everlux),Uncommon,Everlux
Edged (Everlux),Common,Everlux
Mottle (Everlux),Common,Everlux
Noxtide (Everlux),Uncommon,Everlux
Saturn (Everlux),Uncommon,Everlux
Butterfly (Everlux),Rare,Everlux
Lode (Everlux),Rare,Everlux
Paint (Everlux),Common,Everlux
Morph (Everlux),Limited,Everlux
Sarcophagus (Everlux),Rare,Everlux
Swallowtail (Everlux),Limited,Everlux
Sarcophagus (Veilspun),Rare,Veilspun
Current (Everlux),Uncommon,Everlux
Spinner (Everlux),Limited,Everlux
Trail (Everlux),Limited,Everlux
Hawkmoth (Everlux),Uncommon,Everlux
Sludge (Everlux),Limited,Everlux
Coil (Everlux),Uncommon,Everlux
Constellation (Everlux),Rare,Everlux
Foam (Everlux),Limited,Everlux
Stripes (Everlux),Common,Everlux
Toxin (Everlux),Limited,Everlux
Lacquer (Everlux),Common,Everlux
Fissure (Veilspun),Limited,Veilspun
Crown (Everlux),Rare,Everlux
Chess (Gaoler),Common,Gaoler
Jester (Gaoler),Rare,Gaoler
Noxtide (Gaoler),Uncommon,Gaoler
Lacquer (Gaoler),Common,Gaoler
Rosette (Veilspun),Uncommon,Veilspun
Spire (Veilspun),Common,Veilspun
Larvae (Veilspun),Common,Veilspun
Larvae (Aberration),Common,Aberration
Larvae (Aether),Common,Aether
Larvae (Banescale),Common,Banescale
Larvae (Dusthide),Common,Dusthide
Larvae (Undertide),Common,Undertide
Larvae (Sandsurge),Common,Sandsurge
Larvae (Gaoler),Common,Gaoler
,Spacer,Modern
Paisley (Sandsurge),Limited,Sandsurge
Hypnotic (Banescale),Uncommon,Banescale
Hypnotic (Gaoler),Uncommon,Gaoler
Hypnotic (Sandsurge),Uncommon,Sandsurge
Hypnotic (Undertide),Uncommon,Undertide
Facet (Sandsurge),Rare,Sandsurge
Loam,Limited,Modern
Loam (Aberration),Limited,Aberration
Loam (Aether),Limited,Aether
Loam (Auraboa),Limited,Auraboa
Loam (Banescale),Limited,Banescale
Loam (Dusthide),Limited,Dusthide
Loam (Gaoler),Limited,Gaoler
Loam (Sandsurge),Limited,Sandsurge
Loam (Undertide),Limited,Undertide
Loam (Veilspun),Limited,Veilspun
Loam (Everlux),Limited,Everlux
Affection,Limited,Modern
Chess,Common,Modern
Chess (Aberration),Common,Aberration
Silkspot (Cirrus),Uncommon,Cirrus
Safari (Cirrus),Common,Cirrus
Loop (Cirrus),Limited,Cirrus
Daub (Cirrus),Uncommon,Cirrus
Carousel (Cirrus),Uncommon,Cirrus
Seraph (Cirrus),Uncommon,Cirrus
Choir (Cirrus),Uncommon,Cirrus
Blaze (Cirrus),Uncommon,Cirrus
Blend (Cirrus),Common,Cirrus
Flair (Cirrus),Uncommon,Cirrus
Mottle (Cirrus),Common,Cirrus
Weaver (Cirrus),Limited,Cirrus
Dye (Cirrus),Uncommon,Cirrus
Jester (Cirrus),Rare,Cirrus
Paint (Cirrus),Common,Cirrus
Alloy (Cirrus),Rare,Cirrus
Morph (Cirrus),Limited,Cirrus
Tear (Cirrus),Uncommon,Cirrus
Current (Cirrus),Uncommon,Cirrus
Bee (Cirrus),Rare,Cirrus
Hypnotic (Cirrus),Uncommon,Cirrus
Lacquer (Cirrus),Common,Cirrus
Stripes (Cirrus),Common,Cirrus
Spinner (Cirrus),Limited,Cirrus
Loam (Cirrus),Limited,Cirrus
Roan (Cirrus),Common,Cirrus
Chess (Sandsurge),Common,Sandsurge
Spinner (Sandsurge),Limited,Sandsurge
Lacquer (Sandsurge),Common,Sandsurge
Hawkmoth (Sandsurge),Uncommon,Sandsurge
Daub (Sandsurge),Uncommon,Sandsurge
Tear (Sandsurge),Uncommon,Sandsurge
Butterfly (Sandsurge),Rare,Sandsurge
Eel (Sandsurge),Uncommon,Sandsurge
Peregrine (Sandsurge),Common,Sandsurge
Lode (Sandsurge),Rare,Sandsurge
Lacquer,Common,Modern
Lacquer (Aberration),Common,Aberration
Lacquer (Banescale),Common,Banescale
Lacquer (Veilspun),Common,Veilspun
Chess (Auraboa),Common,Auraboa
Chess (Banescale),Common,Banescale
Chess (Veilspun),Common,Veilspun
Loop (Thorntail),Limited,Thorntail
Arowana (Thorntail),Common,Thorntail
Warp (Thorntail),Rare,Thorntail
Daub (Thorntail),Uncommon,Thorntail
Lumen (Thorntail),Rare,Thorntail
Saddle (Thorntail),Uncommon,Thorntail
Croc (Thorntail),Uncommon,Thorntail
Sugarplum (Thorntail),Limited,Thorntail
Seraph (Thorntail),Uncommon,Thorntail
Choir (Thorntail),Uncommon,Thorntail
Blaze (Thorntail),Uncommon,Thorntail
Silkspot (Thorntail),Uncommon,Thorntail
Blend (Thorntail),Common,Thorntail
Paisley (Thorntail),Limited,Thorntail
Dye (Thorntail),Uncommon,Thorntail
Rosette (Thorntail),Uncommon,Thorntail
Mottle (Thorntail),Common,Thorntail
Weaver (Thorntail),Limited,Thorntail
Butterfly (Thorntail),Rare,Thorntail
Sarcophagus (Thorntail),Rare,Thorntail
Paint (Thorntail),Common,Thorntail
Morph (Thorntail),Limited,Thorntail
Tear (Thorntail),Uncommon,Thorntail
Diamondback (Thorntail),Uncommon,Thorntail
Current (Thorntail),Uncommon,Thorntail
Marlin (Thorntail),Limited,Thorntail
Spinner (Thorntail),Limited,Thorntail
Loam (Thorntail),Limited,Thorntail
Striation (Thorntail),Common,Thorntail
Foam (Thorntail),Limited,Thorntail
Lacquer (Thorntail),Common,Thorntail
Hypnotic (Thorntail),Uncommon,Thorntail
Chalice (Thorntail),Rare,Thorntail
Signal (Thorntail),Common,Thorntail
Drip (Thorntail),Uncommon,Thorntail
Marlin,Limited,Modern
Marlin (Aberration),Limited,Aberration
Marlin (Aether),Limited,Aether
Marlin (Auraboa),Limited,Auraboa
Marlin (Cirrus),Limited,Cirrus
Marlin (Everlux),Limited,Everlux
Marlin (Gaoler),Limited,Gaoler
Marlin (Undertide),Limited,Undertide
Marlin (Veilspun),Limited,Veilspun
Thread (Auraboa),Common,Auraboa
Lode (Auraboa),Rare,Auraboa
Sludge (Auraboa),Limited,Auraboa
Seraph (Auraboa),Uncommon,Auraboa
Tear,Uncommon,Modern
Tear (Auraboa),Uncommon,Auraboa
Tear (Dusthide),Uncommon,Dusthide
Tear (Everlux),Uncommon,Everlux
Tear (Veilspun),Uncommon,Veilspun
Rosette (Everlux),Uncommon,Everlux
Arowana (Vigil),Common,Vigil
Daub (Vigil),Uncommon,Vigil
Eye Spots (Vigil),Common,Vigil
Larvae (Vigil),Common,Vigil
Chess (Vigil),Common,Vigil
Coil (Vigil),Uncommon,Vigil
Hawkmoth,Uncommon,Modern
Hawkmoth (Aberration),Uncommon,Aberration
Hawkmoth (Aether),Uncommon,Aether
Hawkmoth (Auraboa),Uncommon,Auraboa
Hawkmoth (Banescale),Uncommon,Banescale
Hawkmoth (Dusthide),Uncommon,Dusthide
Hawkmoth (Gaoler),Uncommon,Gaoler
Hawkmoth (Undertide),Uncommon,Undertide
Blaze (Vigil),Uncommon,Vigil
Silkspot (Vigil),Uncommon,Vigil
Hatch (Vigil),Limited,Vigil
Warp (Vigil),Rare,Vigil
Blend (Vigil),Common,Vigil
Rosette (Vigil),Uncommon,Vigil
Clouded (Vigil),Common,Vigil
Mottle (Vigil),Common,Vigil
Alloy (Vigil),Rare,Vigil
Oxidize (Vigil),Uncommon,Vigil
Paint (Vigil),Common,Vigil
Eel (Vigil),Uncommon,Vigil
Marlin (Vigil),Limited,Vigil
Spinner (Vigil),Limited,Vigil
Marbled (Vigil),Common,Vigil
Current (Vigil),Uncommon,Vigil
Striation (Vigil),Common,Vigil
Hypnotic (Vigil),Uncommon,Vigil
Spire (Vigil),Common,Vigil
Lacquer (Vigil),Common,Vigil
