# name, rarity, ancient name
Nudibranch (Undertide),Limited,Undertide
Pufferfish (Undertide),Uncommon,Undertide
Plating (Undertide),Uncommon,Undertide
Okapi (Undertide),Uncommon,Undertide
Sailfin (Undertide),Rare,Undertide
Ghost (Veilspun),Uncommon,Veilspun
Underbelly (Aberration),Common,Aberration
Filigree (Veilspun),Rare,Veilspun
Veined (Veilspun),Limited,Veilspun
Circuit (Aether),Rare,Aether
Contour (Aether),Common,Aether
Gembond (Aether),Uncommon,Aether
Glowtail (Aether),Rare,Aether
Keel (Aether),Limited,Aether
Monarch (Aether),Rare,Aether
Flutter (Aether),Limited,Aether
Lace (Aether),Uncommon,Aether
Mandibles (Aether),Limited,Aether
Underbelly (Aether),Common,Aether
Stained (Aether),Rare,Aether
Points (Aether),Common,Aether
Scales (Aether),Limited,Aether
Stinger (Aether),Uncommon,Aether
Space (Aether),Rare,Aether
Smirch (Aether),Limited,Aether
Smoke (Aether),Uncommon,Aether
Sparkle (Aether),Uncommon,Aether
Spines (Aether),Uncommon,Aether
Whiskers (Aether),Uncommon,Aether
Wish (Aether),Rare,Aether
Angler (Gaoler),Limited,Gaoler
Contour (Gaoler),Common,Gaoler
Monarch (Banescale),Rare,Banescale
Soap (Banescale),Rare,Banescale
Spines (Banescale),Uncommon,Banescale
Firebreather,Limited,Modern
Carnivore (Aberration),Limited,Aberration
Carnivore (Aether),Limited,Aether
Carnivore (Banescale),Limited,Banescale
Carnivore (Undertide),Limited,Undertide
Carnivore (Gaoler),Limited,Gaoler
Carnivore (Veilspun),Limited,Veilspun
Polkadot,Limited,Modern
Brightshine (Veilspun),Limited,Veilspun
Brightshine (Undertide),Limited,Undertide
Underbelly (Sandsurge),Common,Sandsurge
Stained (Sandsurge),Rare,Sandsurge
Augment (Sandsurge),Rare,Sandsurge
Beard (Sandsurge),Uncommon,Sandsurge
Kumo (Sandsurge),Common,Sandsurge
Gembond (Sandsurge),Uncommon,Sandsurge
Darts (Sandsurge),Common,Sandsurge
Runes (Sandsurge),Uncommon,Sandsurge
Thylacine (Sandsurge),Common,Sandsurge
Soap (Sandsurge),Rare,Sandsurge
Spines (Sandsurge),Uncommon,Sandsurge
Okapi (Sandsurge),Uncommon,Sandsurge
Chitin (Sandsurge),Common,Sandsurge
Crest (Sandsurge),Uncommon,Sandsurge
Fishbone (Sandsurge),Uncommon,Sandsurge
Keel (Sandsurge),Limited,Sandsurge
Lace (Sandsurge),Uncommon,Sandsurge
Spectre (Sandsurge),Rare,Sandsurge
Branches (Sandsurge),Limited,Sandsurge
Shark (Sandsurge),Limited,Sandsurge
Peacock (Sandsurge),Common,Sandsurge
Smirch (Sandsurge),Limited,Sandsurge
Sparkle (Sandsurge),Uncommon,Sandsurge
Thundercrack (Sandsurge),Limited,Sandsurge
Thundercrack (Gaoler),Limited,Gaoler
Flameforger (Banescale),Limited,Banescale
Flameforger (Aberration),Limited,Aberration
Augment (Aberration),Rare,Aberration
Braids (Aberration),Uncommon,Aberration
Contour (Aberration),Common,Aberration
Fans (Aberration),Rare,Aberration
Firebreather (Aberration),Limited,Aberration
Koi (Aberration),Rare,Aberration
Skeletal (Aberration),Limited,Aberration
Smirch (Aberration),Limited,Aberration
Spines (Aberration),Uncommon,Aberration
Stained (Aberration),Rare,Aberration
Thorns (Aberration),Uncommon,Aberration
Starfall (Aether),Limited,Aether
Starfall (Sandsurge),Limited,Sandsurge
Riot (Aberration),Limited,Aberration
Riot (Gaoler),Limited,Gaoler
Wish,Rare,Modern
Batty (Auraboa),Limited,Auraboa
Crest (Auraboa),Uncommon,Auraboa
Fishbone (Auraboa),Uncommon,Auraboa
Branches (Auraboa),Limited,Auraboa
Medusa (Auraboa),Rare,Auraboa
Paradise (Auraboa),Uncommon,Auraboa
Plumage (Auraboa),Rare,Auraboa
Porcupine (Auraboa),Limited,Auraboa
Sailfin (Auraboa),Rare,Auraboa
Skuttle (Auraboa),Limited,Auraboa
Stinger (Auraboa),Uncommon,Auraboa
Terracotta (Auraboa),Common,Auraboa
Thorns (Auraboa),Uncommon,Auraboa
Willow (Auraboa),Uncommon,Auraboa
Underbelly (Auraboa),Common,Auraboa
Capsule (Auraboa),Limited,Auraboa
Contour (Auraboa),Common,Auraboa
Crackle (Auraboa),Uncommon,Auraboa
Firefly (Auraboa),Limited,Auraboa
Firebreather (Auraboa),Limited,Auraboa
Keel (Auraboa),Limited,Auraboa
Koi (Auraboa),Rare,Auraboa
Opal (Auraboa),Rare,Auraboa
Peacock (Auraboa),Common,Auraboa
Polkadot (Auraboa),Limited,Auraboa
Scales (Auraboa),Limited,Auraboa
Smoke (Auraboa),Uncommon,Auraboa
Spines (Auraboa),Uncommon,Auraboa
Stained (Auraboa),Rare,Auraboa
Topcoat (Auraboa),Common,Auraboa
Rockbreaker (Auraboa),Limited,Auraboa
Rockbreaker (Sandsurge),Limited,Sandsurge
Angler (Undertide),Limited,Undertide
Opal (Undertide),Rare,Undertide
Branches (Undertide),Limited,Undertide
Contour (Undertide),Common,Undertide
Crest (Undertide),Uncommon,Undertide
Fans (Undertide),Rare,Undertide
Firebreather (Undertide),Limited,Undertide
Firefly (Undertide),Limited,Undertide
Koi (Undertide),Rare,Undertide
Medusa (Undertide),Rare,Undertide
Porcupine (Undertide),Limited,Undertide
Scales (Undertide),Limited,Undertide
Shark (Undertide),Limited,Undertide
Smirch (Undertide),Limited,Undertide
Smoke (Undertide),Uncommon,Undertide
Spines (Undertide),Uncommon,Undertide
Stinger (Undertide),Uncommon,Undertide
Thorns (Undertide),Uncommon,Undertide
Topcoat (Undertide),Common,Undertide
Crystalline (Gaoler),Limited,Gaoler
Crystalline (Auraboa),Limited,Auraboa
Blossom (Undertide),Limited,Undertide
Keel (Undertide),Limited,Undertide
Jellyfish (Undertide),Uncommon,Undertide
Trickmurk (Veilspun),Limited,Veilspun
Trickmurk (Aether),Limited,Aether
Mistral (Undertide),Limited,Undertide
Mistral (Banescale),Limited,Banescale
Stained (Dusthide),Rare,Dusthide
Underbelly (Dusthide),Common,Dusthide
Antlers (Dusthide),Uncommon,Dusthide
Fishbone (Dusthide),Uncommon,Dusthide
Ghost (Dusthide),Uncommon,Dusthide
Glowtail (Dusthide),Rare,Dusthide
Augment (Dusthide),Rare,Dusthide
Blossom (Dusthide),Limited,Dusthide
Carnivore (Dusthide),Limited,Dusthide
Mandibles (Dusthide),Limited,Dusthide
Okapi (Dusthide),Uncommon,Dusthide
Opal (Dusthide),Rare,Dusthide
Angler (Dusthide),Limited,Dusthide
Gembond (Dusthide),Uncommon,Dusthide
Dewlap (Dusthide),Limited,Dusthide
Batty (Dusthide),Limited,Dusthide
Pachy (Dusthide),Limited,Dusthide
Whiskers (Dusthide),Uncommon,Dusthide
Sparkle (Dusthide),Uncommon,Dusthide
Polkadot (Dusthide),Limited,Dusthide
Ringlets (Dusthide),Uncommon,Dusthide
Spores (Dusthide),Rare,Dusthide
Veil (Dusthide),Rare,Dusthide
Smoke (Dusthide),Uncommon,Dusthide
Spines (Dusthide),Uncommon,Dusthide
Topcoat (Dusthide),Common,Dusthide
Wavecrest (Dusthide),Limited,Dusthide
Wavecrest (Undertide),Limited,Undertide
Firebreather (Veilspun),Limited,Veilspun
Firebreather (Gaoler),Limited,Gaoler
Firebreather (Banescale),Limited,Banescale
Firebreather (Sandsurge),Limited,Sandsurge
Firebreather (Aether),Limited,Aether
Greenskeeper (Dusthide),Limited,Dusthide
Greenskeeper (Auraboa),Limited,Auraboa
Brightshine (Dusthide),Limited,Dusthide
Brightshine (Banescale),Limited,Banescale
Thundercrack (Aberration),Limited,Aberration
Thundercrack (Veilspun),Limited,Veilspun
Warrior (Banescale),Limited,Banescale
Warrior (Sandsurge),Limited,Sandsurge
Warrior (Veilspun),Limited,Veilspun
Angler (Aether),Limited,Aether
Braids (Aether),Uncommon,Aether
Branches (Aether),Limited,Aether
Capsule (Aether),Limited,Aether
Crackle (Aether),Uncommon,Aether
Diaphanous (Aether),Rare,Aether
Fans (Aether),Rare,Aether
Flecks (Aether),Limited,Aether
Ghost (Aether),Uncommon,Aether
Koi (Aether),Rare,Aether
Medusa (Aether),Rare,Aether
Nudibranch (Aether),Limited,Aether
Firefly (Aether),Limited,Aether
Ornaments (Aether),Rare,Aether
Porcupine (Aether),Limited,Aether
Sailfin (Aether),Rare,Aether
Spores (Aether),Rare,Aether
Thorns (Aether),Uncommon,Aether
Thylacine (Aether),Common,Aether
Veined (Aether),Limited,Aether
Blossom (Aether),Limited,Aether
Fishbone (Aether),Uncommon,Aether
Soap (Aether),Rare,Aether
Tentacles (Aether),Rare,Aether
Flameforger (Aether),Limited,Aether
Flameforger (Sandsurge),Limited,Sandsurge
Starfall (Auraboa),Limited,Auraboa
Starfall (Gaoler),Limited,Gaoler
Thorns (Banescale),Uncommon,Banescale
Thorns (Dusthide),Uncommon,Dusthide
Thorns (Gaoler),Uncommon,Gaoler
Thorns (Sandsurge),Uncommon,Sandsurge
Riot (Veilspun),Limited,Veilspun
Riot (Dusthide),Limited,Dusthide
Augment (Everlux),Rare,Everlux
Batty (Everlux),Limited,Everlux
Chitin (Everlux),Common,Everlux
Eclipse (Everlux),Rare,Everlux
Fishbone (Everlux),Uncommon,Everlux
Flutter (Everlux),Limited,Everlux
Glitch (Everlux),Rare,Everlux
Stained (Everlux),Rare,Everlux
Underbelly (Everlux),Common,Everlux
Gecko (Everlux),Uncommon,Everlux
Gliders (Everlux),Limited,Everlux
Eclosion (Everlux),Uncommon,Everlux
Gembond (Everlux),Uncommon,Everlux
Jellyfish (Everlux),Uncommon,Everlux
Kumo (Everlux),Common,Everlux
Mandibles (Everlux),Limited,Everlux
Nudibranch (Everlux),Limited,Everlux
Paradise (Everlux),Uncommon,Everlux
Peacock (Everlux),Common,Everlux
Points (Everlux),Common,Everlux
Polkadot (Everlux),Limited,Everlux
Rift (Everlux),Uncommon,Everlux
Runes (Everlux),Uncommon,Everlux
Scales (Everlux),Limited,Everlux
Skuttle (Everlux),Limited,Everlux
Smoke (Everlux),Uncommon,Everlux
Space (Everlux),Rare,Everlux
Sparkle (Everlux),Uncommon,Everlux
Spines (Everlux),Uncommon,Everlux
Spores (Everlux),Rare,Everlux
Sunsail (Everlux),Uncommon,Everlux
Thorns (Everlux),Uncommon,Everlux
Whiskers (Everlux),Uncommon,Everlux
Wish (Everlux),Rare,Everlux
Wool (Everlux),Common,Everlux
Harp (Everlux),Rare,Everlux
Branches (Gaoler),Limited,Gaoler
Circuit (Gaoler),Rare,Gaoler
Soap (Gaoler),Rare,Gaoler
Whiskers (Gaoler),Uncommon,Gaoler
Rockbreaker (Aberration),Limited,Aberration
Rockbreaker (Everlux),Limited,Everlux
Contour (Veilspun),Common,Veilspun
Medusa (Veilspun),Rare,Veilspun
Smirch (Veilspun),Limited,Veilspun
Soap (Veilspun),Rare,Veilspun
Blossom (Veilspun),Limited,Veilspun
,Spacer,Modern
Blossom (Sandsurge),Limited,Sandsurge
Blossom (Aberration),Limited,Aberration
Blossom (Auraboa),Limited,Auraboa
Blossom (Banescale),Limited,Banescale
Chitin (Auraboa),Common,Auraboa
Carnivore (Sandsurge),Limited,Sandsurge
Spores (Aberration),Rare,Aberration
Spores (Auraboa),Rare,Auraboa
Spores (Banescale),Rare,Banescale
Spores (Gaoler),Rare,Gaoler
Spores (Sandsurge),Rare,Sandsurge
Spores (Veilspun),Rare,Veilspun
Capsule (Sandsurge),Limited,Sandsurge
Gecko,Uncommon,Modern
Gecko (Aberration),Uncommon,Aberration
Gecko (Aether),Uncommon,Aether
Gecko (Auraboa),Uncommon,Auraboa
Gecko (Banescale),Uncommon,Banescale
Gecko (Dusthide),Uncommon,Dusthide
Gecko (Gaoler),Uncommon,Gaoler
Gecko (Sandsurge),Uncommon,Sandsurge
Gecko (Undertide),Uncommon,Undertide
Gecko (Veilspun),Uncommon,Veilspun
Eclipse,Rare,Modern
Eclipse (Undertide),Rare,Undertide
Eclipse (Veilspun),Rare,Veilspun
Crystalline (Aether),Limited,Aether
Crystalline (Everlux),Limited,Everlux
Trickmurk (Banescale),Limited,Banescale
Trickmurk (Undertide),Limited,Undertide
Mistral (Aether),Limited,Aether
Mistral (Everlux),Limited,Everlux
Medusa (Aberration),Rare,Aberration
Wavecrest (Auraboa),Limited,Auraboa
Wavecrest (Everlux),Limited,Everlux
Scales (Cirrus),Limited,Cirrus
Underbelly (Cirrus),Common,Cirrus
Blossom (Cirrus),Limited,Cirrus
Braids (Cirrus),Uncommon,Cirrus
Coral (Cirrus),Limited,Cirrus
Crackle (Cirrus),Uncommon,Cirrus
Eclipse (Cirrus),Rare,Cirrus
Deco (Cirrus),Rare,Cirrus
Flames (Cirrus),Limited,Cirrus
Ghost (Cirrus),Uncommon,Cirrus
Glitch (Cirrus),Rare,Cirrus
Gnarlhorns (Cirrus),Rare,Cirrus
Kumo (Cirrus),Common,Cirrus
Medusa (Cirrus),Rare,Cirrus
Okapi (Cirrus),Uncommon,Cirrus
Mist (Cirrus),Rare,Cirrus
Paradise (Cirrus),Uncommon,Cirrus
Peacock (Cirrus),Common,Cirrus
Polypore (Cirrus),Limited,Cirrus
Sailfin (Cirrus),Rare,Cirrus
Skeletal (Cirrus),Limited,Cirrus
Spectre (Cirrus),Rare,Cirrus
Thorns (Cirrus),Uncommon,Cirrus
Topscale (Cirrus),Limited,Cirrus
Willow (Cirrus),Uncommon,Cirrus
Wool (Cirrus),Common,Cirrus
Spores (Cirrus),Rare,Cirrus
Quagga (Cirrus),Common,Cirrus
Sparkle (Cirrus),Uncommon,Cirrus
Runes (Cirrus),Uncommon,Cirrus
Greenskeeper (Cirrus),Limited,Cirrus
Greenskeeper (Undertide),Limited,Undertide
Brightshine (Everlux),Limited,Everlux
Brightshine (Cirrus),Limited,Cirrus
Gnarlhorns (Sandsurge),Rare,Sandsurge
Whiskers (Sandsurge),Uncommon,Sandsurge
Smoke (Sandsurge),Uncommon,Sandsurge
Batty (Sandsurge),Limited,Sandsurge
Mandibles (Sandsurge),Limited,Sandsurge
Eclipse (Sandsurge),Rare,Sandsurge
Firefly (Sandsurge),Limited,Sandsurge
Flecks (Sandsurge),Limited,Sandsurge
Polkadot (Sandsurge),Limited,Sandsurge
Thundercrack (Banescale),Limited,Banescale
Thundercrack (Cirrus),Limited,Cirrus
Warrior (Auraboa),Limited,Auraboa
Warrior (Cirrus),Limited,Cirrus
Warrior (Dusthide),Limited,Dusthide
Spores (Undertide),Rare,Undertide
Flameforger (Cirrus),Limited,Cirrus
Flameforger (Dusthide),Limited,Dusthide
Darts,Common,Modern
Starfall (Aberration),Limited,Aberration
Starfall (Veilspun),Limited,Veilspun
Ornaments (Cirrus),Rare,Cirrus
Ornaments (Veilspun),Rare,Veilspun
Ornaments (Undertide),Rare,Undertide
Ornaments (Banescale),Rare,Banescale
Ornaments (Gaoler),Rare,Gaoler
Ornaments (Dusthide),Rare,Dusthide
Ornaments (Aberration),Rare,Aberration
Ornaments (Everlux),Rare,Everlux
Ornaments (Auraboa),Rare,Auraboa
Riot (Everlux),Limited,Everlux
Riot (Sandsurge),Limited,Sandsurge
Angler (Thorntail),Limited,Thorntail
Beetle (Thorntail),Limited,Thorntail
Blossom (Thorntail),Limited,Thorntail
Coral (Thorntail),Limited,Thorntail
Crackle (Thorntail),Uncommon,Thorntail
Dewlap (Thorntail),Limited,Thorntail
Diaphanous (Thorntail),Rare,Thorntail
Fishbone (Thorntail),Uncommon,Thorntail
Flames (Thorntail),Limited,Thorntail
Flutter (Thorntail),Limited,Thorntail
Gecko (Thorntail),Uncommon,Thorntail
Ghost (Thorntail),Uncommon,Thorntail
Glitch (Thorntail),Rare,Thorntail
Hornet (Thorntail),Rare,Thorntail
Kumo (Thorntail),Common,Thorntail
Mandibles (Thorntail),Limited,Thorntail
Medusa (Thorntail),Rare,Thorntail
Monarch (Thorntail),Rare,Thorntail
Moss (Thorntail),Limited,Thorntail
Paradise (Thorntail),Uncommon,Thorntail
Peacock (Thorntail),Common,Thorntail
Polkadot (Thorntail),Limited,Thorntail
Runes (Thorntail),Uncommon,Thorntail
Sailfin (Thorntail),Rare,Thorntail
Skeletal (Thorntail),Limited,Thorntail
Space (Thorntail),Rare,Thorntail
Spectre (Thorntail),Rare,Thorntail
Spines (Thorntail),Uncommon,Thorntail
Stained (Thorntail),Rare,Thorntail
Tentacles (Thorntail),Rare,Thorntail
Tusked (Thorntail),Limited,Thorntail
Underbelly (Thorntail),Common,Thorntail
Wish (Thorntail),Rare,Thorntail
Wool (Thorntail),Common,Thorntail
Yarn (Thorntail),Limited,Thorntail
Rockbreaker (Dusthide),Limited,Dusthide
Rockbreaker (Thorntail),Limited,Thorntail
Angler (Auraboa),Limited,Auraboa
Eclipse (Auraboa),Rare,Auraboa
Whiskers (Auraboa),Uncommon,Auraboa
Crystalline (Cirrus),Limited,Cirrus
Crystalline (Thorntail),Limited,Thorntail
Sweet (Thorntail),Limited,Thorntail
Trickmurk (Thorntail),Limited,Thorntail
Trickmurk (Gaoler),Limited,Gaoler
Mistral (Thorntail),Limited,Thorntail
Mistral (Veilspun),Limited,Veilspun
Capsule (Vigil),Limited,Vigil
Underbelly (Vigil),Common,Vigil
Agate (Vigil),Uncommon,Vigil
Branches (Vigil),Limited,Vigil
Carnivore (Vigil),Limited,Vigil
Rooster (Vigil),Uncommon,Vigil
Barnacle (Vigil),Common,Vigil
Coral (Vigil),Limited,Vigil
Candlelight (Vigil),Rare,Vigil
Crest (Vigil),Uncommon,Vigil
Deco (Vigil),Rare,Vigil
Dewlap (Vigil),Limited,Vigil
Eclipse (Vigil),Rare,Vigil
Glitch (Vigil),Rare,Vigil
Firebreather (Vigil),Limited,Vigil
Gecko (Vigil),Uncommon,Vigil
Ghost (Vigil),Uncommon,Vigil
Gnarlhorns (Vigil),Rare,Vigil
Kumo (Vigil),Common,Vigil
Mandibles (Vigil),Limited,Vigil
Medusa (Vigil),Rare,Vigil
Overgrow (Vigil),Rare,Vigil
Belfry (Vigil),Rare,Vigil
Fangs (Vigil),Uncommon,Vigil
Plating (Vigil),Uncommon,Vigil
Plumage (Vigil),Rare,Vigil
Polkadot (Vigil),Limited,Vigil
Porcelain (Vigil),Limited,Vigil
Quagga (Vigil),Common,Vigil
Rift (Vigil),Uncommon,Vigil
Tentacles (Vigil),Rare,Vigil
Thorns (Vigil),Uncommon,Vigil
Webmane (Vigil),Limited,Vigil
Willow (Vigil),Uncommon,Vigil
Veined (Vigil),Limited,Vigil
Smirch (Vigil),Limited,Vigil
Wish (Vigil),Rare,Vigil
Wavecrest (Vigil),Limited,Vigil
Wavecrest (Aether),Limited,Aether
Magpie,Limited,Modern
Magpie (Aberration),Limited,Aberration
Magpie (Aether),Limited,Aether
Magpie (Auraboa),Limited,Auraboa
Magpie (Banescale),Limited,Banescale
Magpie (Cirrus),Limited,Cirrus
Magpie (Dusthide),Limited,Dusthide
Magpie (Everlux),Limited,Everlux
Magpie (Gaoler),Limited,Gaoler
Magpie (Sandsurge),Limited,Sandsurge
Magpie (Thorntail),Limited,Thorntail
Magpie (Undertide),Limited,Undertide
Magpie (Veilspun),Limited,Veilspun
Magpie (Vigil),Limited,Vigil
